CaseID	VehicleNumber	Axle	BrakeType	BRAPosition	ABSInstalled	ABSFunctional	AdjustorType	ChamberSize	ChamberType	StrokeType	LeftLength	RightLength	PSU	PSUStrata	RATWeight
333006634	2	1	1	1	0	0	1	9999	99	9	3.81	3.81	9	8	0
333006634	2	2	1	1	0	0	1	9999	99	9	3.81	3.8	9	8	0
333006634	2	3	1	1	0	0	1	9999	99	9	3.8	4.45	9	8	0
333006634	2	4	1	2	0	0	1	9999	99	9	4.76	4.76	9	8	0
333006634	2	5	1	2	0	0	1	9999	99	9	4.45	4.4	9	8	0
333006714	3	1	1	1	0	0	1	18.4	13	2	3.49	3.18	9	8	756.035
333006714	3	2	1	1	0	0	1	20.6	14	2	3.5	2.86	9	8	756.035
333006714	3	3	1	1	0	0	1	20.6	14	2	2.9	3.5	9	8	756.035
333006714	3	4	1	2	0	0	1	20.6	14	2	3.2	3.2	9	8	756.035
333006714	3	5	1	2	0	0	1	20.6	14	2	3.2	3.5	9	8	756.035
333006859	2	1	1	1	99	99	1	17.2	12	2	3.49	3.5	9	8	0
333006859	2	2	1	1	99	99	1	20.6	14	2	4.45	4.4	9	8	0
333006859	2	3	1	1	99	99	1	20.6	14	2	4.76	4.8	9	8	0
333006859	2	4	1	2	0	0	1	20.6	14	2	2.54	3.18	9	8	0
333006859	2	5	1	2	0	0	1	20.6	14	2	3.81	3.8	9	8	0
333006958	1	1	1	1	0	0	1	17.2	12	2	3.18	3.49	9	8	756.035
333006958	1	2	1	1	0	0	1	18.4	22	1	5.08	3.81	9	8	756.035
333006958	1	3	1	1	0	0	1	18.4	22	1	4.13	3.8	9	8	756.035
333006958	1	4	1	2	0	0	1	20.6	14	2	4.13	3.8	9	8	756.035
333006958	1	5	1	2	0	0	1	20.6	14	2	4.45	4.45	9	8	756.035
333006978	1	1	1	1	0	0	2	18.4	13	2	3.49	3.18	9	8	468.821
333006978	1	2	1	1	0	0	1	20.6	14	2	2.86	3.81	9	8	468.821
333006978	1	3	1	1	0	0	1	20.6	14	2	4.13	4.76	9	8	468.821
333006978	1	4	1	2	99	99	2	20.6	14	2	3.81	2.9	9	8	468.821
333006978	1	5	1	2	99	99	2	20.6	14	2	4.13	4.13	9	8	468.821
333006978	1	6	1	2	99	99	2	20.6	14	2	9994	9994	9	8	468.821
333006978	2	1	1	1	1	1	2	17.2	12	2	.64	3.81	9	8	468.821
333006978	2	2	1	1	1	1	2	20.6	14	2	.6	2.54	9	8	468.821
333006978	2	3	1	1	1	1	2	20.6	14	2	1.27	3.18	9	8	468.821
333006978	2	4	1	2	1	1	2	20.6	14	2	1.91	4.76	9	8	468.821
333006978	2	5	1	2	1	1	2	20.6	14	2	2.5	3.8	9	8	468.821
333007018	3	1	1	1	0	0	2	16.2	11	2	9994	9994	9	8	216.96
333007018	3	2	1	1	0	0	2	20.6	14	2	9994	9994	9	8	216.96
333007018	3	3	1	1	0	0	2	20.6	14	2	9994	9994	9	8	216.96
335006545	1	1	1	1	1	1	1	20	12	2	2.54	3.81	11	6	125.127
335006545	1	2	1	1	1	1	1	30	14	2	.32	.32	11	6	125.127
335006545	1	3	1	1	1	1	1	30	14	2	2.54	2.54	11	6	125.127
335006545	1	4	1	2	0	0	1	30	14	2	1.25	5.08	11	6	125.127
335006545	1	5	1	2	0	0	1	30	14	2	4.45	4.45	11	6	125.127
335006546	1	1	1	1	1	99	1	30	14	2	9994	9992	11	6	125.127
335006546	1	2	1	1	1	1	1	30	14	2	4.14	3.5	11	6	125.127
335006546	1	3	1	1	1	1	1	30	14	2	4.14	4.14	11	6	125.127
335006546	1	4	1	2	1	1	1	30	14	2	3.5	2.86	11	6	125.127
335006546	1	5	1	2	1	1	1	30	14	2	3.49	3.18	11	6	125.127
335006565	1	1	2	1	1	1	2	8887	99	3	8887	8887	11	6	68.691
335006565	1	2	2	1	1	1	2	8887	99	3	8887	8887	11	6	68.691
335006827	2	1	1	1	1	1	1	24	13	2	2.22	2.2	11	6	68.691
335006827	2	2	1	1	1	1	1	30	14	2	3.18	2.86	11	6	68.691
335006827	2	3	1	1	0	0	1	30	14	2	2.54	2.5	11	6	68.691
335006827	2	4	1	2	0	0	1	30	14	2	3.81	3.2	11	6	68.691
335006827	2	5	1	2	0	0	1	30	14	2	4.14	4.14	11	6	68.691
335006827	2	6	1	2	0	0	1	30	14	2	3.49	3.5	11	6	68.691
335006827	2	7	1	2	0	0	1	30	14	2	3.8	3.8	11	6	68.691
335006827	2	8	1	2	0	0	1	30	14	2	4.45	3.81	11	6	68.691
335006827	2	9	1	2	0	0	1	30	14	2	4.4	6.35	11	6	68.691
335006828	2	1	2	1	0	0	2	8887	17	3	8887	8887	11	6	21.198
335006828	2	2	2	1	0	0	2	8887	17	3	8887	8887	11	6	21.198
335006865	2	1	1	1	99	99	1	18.4	13	2	9994	9994	11	6	21.198
335006865	2	2	1	1	99	99	1	20.6	14	2	9994	9994	11	6	21.198
335006865	2	3	1	1	99	99	1	20.6	14	2	9994	9994	11	6	21.198
335006865	2	4	1	2	0	0	1	20.6	14	2	4.45	4.4	11	6	21.198
335006865	2	5	1	2	0	0	1	20.6	14	2	3.81	5.08	11	6	21.198
335006865	2	6	1	2	0	0	1	20.6	14	2	4.44	4.44	11	6	21.198
335006865	2	7	1	3	0	0	1	20.6	14	2	4.44	4.44	11	6	21.198
335006865	2	8	1	3	0	0	1	20.6	14	2	4.44	4.44	11	6	21.198
335006865	2	9	1	3	0	0	1	20.6	14	2	5.1	4.4	11	6	21.198
335006865	2	10	1	3	0	0	1	20.6	14	2	5.1	3.8	11	6	21.198
335006865	2	11	1	3	0	0	1	20.6	14	2	4.44	4.44	11	6	21.198
335006931	1	1	1	1	0	0	1	17.2	12	2	3.18	3.2	11	6	68.691
335006931	1	2	1	1	0	0	1	20.6	14	2	3.5	3.5	11	6	68.691
335006931	1	3	1	1	0	0	1	18.4	13	2	6.35	5.72	11	6	68.691
335007048	2	1	1	1	1	1	1	18.4	13	2	3.49	3.18	11	6	21.198
335007048	2	2	1	1	1	1	1	20.6	14	2	3.81	3.18	11	6	21.198
335007048	2	3	1	1	1	1	1	20.6	14	2	2.86	3.18	11	6	21.198
335007048	2	4	1	2	0	0	1	20.6	14	2	2.54	9992	11	6	21.198
335007048	2	5	1	2	1	1	1	20.6	14	2	3.18	2.86	11	6	21.198
335007108	1	1	1	1	0	0	1	20	12	2	2.54	2.5	11	6	125.127
335007108	1	2	1	1	0	0	1	30	14	2	3.8	4.4	11	6	125.127
335007108	1	3	1	1	0	0	1	30	14	2	2.5	2.5	11	6	125.127
335007108	1	4	1	2	0	0	1	30	14	2	3.81	3.18	11	6	125.127
335007108	1	5	1	2	0	0	1	30	14	2	2.5	2.5	11	6	125.127
335007109	3	1	1	1	1	1	1	17.2	12	2	2.86	2.22	11	6	125.127
