CaseID	VehicleNumber	AirbagNumber	OccupantNumber	SeatRow1	SeatLocation1	SeatRow2	SeatLocation2	AirbagLocation	AirbagStatus	AirbagType	Depowered	Deployment	AirbagFailure	SwitchType	SwitchStatus	FlapsOpen	FlapsDamaged	AirbagDamage	DamageSource	PriorCrashes	PriorMaintenance	CDC	ContactOther	PSU	PSUStrata	RATWeight
800006415	1	1	1	1	1	9	9	1	1	4	0	1	0	0	7	1	0	0	50	9	9	1	0	2	3	145.338
800006471	2	1	1	1	1	9	9	1	1	4	2	3	99	0	7	99	99	99	59	9	9	1	0	2	3	145.338
800006471	2	2	1	1	1	9	9	5	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	2	3	145.338
801003829	1	1	99	1	3	9	9	2	1	4	0	1	0	0	7	99	99	99	59	9	9	99	0	3	1	148.42
801003829	1	2	1	1	1	9	9	1	1	4	0	1	99	0	7	99	99	99	59	9	9	1	0	3	1	148.42
801005488	1	1	1	1	1	9	9	1	1	4	0	3	0	0	7	1	0	99	59	9	9	9	0	3	1	63.274
802003421	1	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	4	3	0
802003504	1	1	1	1	1	9	9	99	9	9	99	99	99	9	9	99	99	99	99	9	9	99	99	4	3	0
802003504	2	1	1	1	1	9	9	1	1	1	1	7	0	0	7	60	60	60	60	9	9	60	60	4	3	0
802003601	2	1	1	1	1	9	9	1	1	4	1	1	0	0	7	99	99	99	59	9	9	1	0	4	3	0
802005084	1	1	1	1	1	9	9	1	1	1	1	1	0	0	7	1	99	95	7	9	9	1	0	4	3	22.769
802005084	1	2	99	1	3	9	9	2	1	1	1	1	0	0	7	0	0	0	50	9	9	99	0	4	3	22.769
802005442	2	1	2	1	3	9	9	3	1	1	0	7	0	9	8	60	60	60	60	9	9	60	60	4	3	53.409
802005442	2	2	1	1	1	9	9	1	1	1	0	7	0	9	8	60	60	60	60	9	9	60	60	4	3	53.409
802005542	2	1	1	1	1	9	9	1	1	4	99	7	99	9	8	60	60	60	60	9	9	60	60	4	3	34.364
802005542	3	1	1	1	1	9	9	1	1	1	0	7	0	9	8	60	60	60	60	9	9	60	60	4	3	34.364
802005681	1	1	1	1	1	9	9	1	1	1	0	1	0	0	7	1	0	0	50	1	0	1	0	4	3	34.364
803003592	1	1	1	1	1	9	9	1	1	1	0	1	0	0	7	99	99	99	59	9	9	99	0	72	4	0
803004432	2	1	1	1	1	9	9	1	1	1	1	7	0	0	7	60	60	60	60	9	9	60	60	72	4	58.657
803004433	1	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	72	4	58.657
803004433	2	1	1	1	1	9	9	1	1	4	0	7	0	0	7	60	60	60	60	9	9	60	60	72	4	58.657
803004653	2	1	1	1	1	9	9	1	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	72	4	58.657
803004653	2	2	2	1	3	9	9	3	1	4	1	7	0	0	7	60	60	60	60	9	9	60	60	72	4	58.657
